id;keyword;type
1;field;field
2;policy;field
3;poli;field
4;model;field
5;branch;field
6;framework;field
7;study;field
8;subset;field
9;system;field
10;approach;field
11;area;field
12;broad;field
13;philosoph;field
14;sub-field;field
15;part;field
16;subject;field
17;analysis;technology
18;method;technology
19;technolog;technology
20;methodolog;technology
21;technique;technology
22;analytical;technology
23;material;technology
24;energy;technology
25;chemical;technology
26;metric;technology
27;material;technology
28;matter;technology
29;practice;practice
30;action;practice
31;process;practice
32;tool;practice
33;waste;practice
34;sustainable;practice
35;description;practice
36;strateg;practice
37;model;practice
38;product;practice
39;treatment;practice